,link,keyword,newspaper,title,date,text,author
0,http://www.libertaddigital.com/deportes/balotelli-sobre-totti-me-llamo-negro-de-mierda-1276392144/,negro de mierda,libertad_digital,"Balotelli, sobre Totti: ""Me llamó negro de mierda""",2010-05-07,"""Me llamó 'negro de mierda'"", ha explicado el delantero interista al diario deportivo La Gazzetta dello Sport, donde también desmiente haber insultado a la ciudad de Roma y a su ""entero pueblo"", como le recriminaba Totti.

Balotelli ""jura no haber ofendido a nadie"", ha dicho al diario su agente, Mino Raiola, que ha precisado que el delantero tan sólo se dirigió a Francesco Totti durante el partido para decirle: ""Basta de patadas, no seas crío, juguemos al fútbol"". La final de Copa Italia del pasado miércoles estuvo marcada por la tensión desde el inicio, ya que, además de ese título, ambos se juegan en los próximos días el ""scudetto"".

Tras salir al terreno de juego en la segunda mitad del partido cuando su equipo ya perdía por 1-0, Totti propinó una patada a Mario Balotelli que le valió la expulsión y que dejó al Roma con diez hombres hasta el final del encuentro.

El capitán romanista admitió haberse equivocado y justificó su comportamiento con un extenso editorial en las páginas del diario Corriere dello Sport. ""Entré en el campo con la intención de dar la vuelta al marcador. Evidentemente no estaba en el mejor estado de ánimo ya que me habría gustado dar mi ayuda al equipo desde el inicio"", refiere, al tiempo que añade que Balotelli ""tuvo un comportamiento provocador"" con sus compañeros, algo que ""ya había ocurrido antes"".

El asunto ha levantado gran polémica en el país y el propio presidente italiano, Giorgio Napolitano, se refirió a la violencia en los campos de fútbol, un ""fenómeno preocupante"" ante el que la comunidad futbolística debería ""reaccionar mejor"".
 Necesitamos tu colaboración para seguir informando
Si eres seguidor de Libertad Digital o esRadio hoy puedes resultarnos más útil que nunca. La emergencia del coronavirus ha ocasionado un lógico desplome sin precedentes de la publicidad, nuestro único sustento económico para poder informar.
Necesitamos a todos y cada uno de nuestros trabajadores y colaboradores que, cada día, están demostrando su valía en un entorno de trabajo complicado por las restricciones que impone el virus. Jornadas laborales interminables y medios tecnológicos no habituales hacen aún más difícil y costosa nuestra labor. Con la publicidad en crisis, el lector de Libertad Digital y el oyente de esRadio pueden ser un asidero de enorme importancia. No hay tiempo que perder.
Hazte socio del Club y disfruta de las ventajas asociadas* o gestiona tu apoyo aportando lo que quieras y cuando quieras como donante. Podrás dejar de hacerlo cuando lo consideres, con un simple aviso previo, sin más explicaciones.
Hoy más que nunca, con tu apoyo hay más Libertad.
QUIERO COLABORAR
* Por la emergencia del coronavirus, quedan anulados hasta nuevo aviso todos los eventos como mesas redondas, debates o programas en directo.",EFE
1,http://www.libertaddigital.com/deportes/liga/2018-01-14/aspas-responde-tras-las-acusaciones-de-un-insultos-racistas-1276612113/,negro de mierda,libertad_digital,Liga,2018-01-14,"La resaca del Levante 0 Celta 1 nos ha dejado unas duras acusaciones de racismo del jugador del Levante Lerma.
Según el centrocampista, Iago Aspas le llamó ""negro de mierda"" durante el partido que ambos equipos jugaron en la mañana de este domingo en el Ciutat de Valencia:
GOL (#VolverEsGanar )
✔
@Gol
 ¡Esto es lo que ha dicho Lerma sobre @aspas10 al finalizar el encuentro entre @levanteud y @rccelta! #beINLaLiga
27
1:04 - 15 ene. 2018
Información y privacidad de Twitter Ads
22 personas están hablando de esto
Creo que estos actos de racismo no pueden existir. Creo que Aspas me ha dicho negro de mierda. Esto no puede pasar. Las medidas las han de tomar otras personas. Hoy me ha tocado a mí, pero no puede pasar
Lerma asegura que se ha dirigido al colegiado Álvarez Izquierdo para que anotase la acción, pero que le dijo que le tenía ""hasta los huevos"". ""Les tocará revisar vídeos y a ver qué pasa"".
Iago Aspas ha dado la cara
""Lo que se dice en el campo, se queda en el campo. Por ello no voy a reproducir lo que él me dijo a mí. En cualquier caso, yo no le llamé lo que él me atribuye"".
El delantero internacional ha publicado en su cuenta de Instagram una foto en la que aparece junto a su compañero de equipo Pione Sisto, autor del gol que dio la victoria al Celta en el Ciutat de Valencia. Pione, sursudanés, es uno de los mejores amigos de Aspas de la plantilla céltica.
Va sin indirectas Aspas en instagram. pic.twitter.com/CUB1NOmrMG
— ¿El Depor Ganó? (@ElDeporGano) January 14, 2018
Celta y Levante han mostrado su apoyo a sus jugadores a través de sendos comunicados.
Necesitamos tu colaboración para seguir informando
Si eres seguidor de Libertad Digital o esRadio hoy puedes resultarnos más útil que nunca. La emergencia del coronavirus ha ocasionado un lógico desplome sin precedentes de la publicidad, nuestro único sustento económico para poder informar.
Necesitamos a todos y cada uno de nuestros trabajadores y colaboradores que, cada día, están demostrando su valía en un entorno de trabajo complicado por las restricciones que impone el virus. Jornadas laborales interminables y medios tecnológicos no habituales hacen aún más difícil y costosa nuestra labor. Con la publicidad en crisis, el lector de Libertad Digital y el oyente de esRadio pueden ser un asidero de enorme importancia. No hay tiempo que perder.
Hazte socio del Club y disfruta de las ventajas asociadas* o gestiona tu apoyo aportando lo que quieras y cuando quieras como donante. Podrás dejar de hacerlo cuando lo consideres, con un simple aviso previo, sin más explicaciones.
Hoy más que nunca, con tu apoyo hay más Libertad.
QUIERO COLABORAR
* Por la emergencia del coronavirus, quedan anulados hasta nuevo aviso todos los eventos como mesas redondas, debates o programas en directo.",Libertad Digital
2,http://www.libertaddigital.com/deportes/la-rfef-pide-disculpas-en-nombre-de-luis-aragones-por-referirse-a-henry-como-negro-de-mierda-1276234669/,negro de mierda,libertad_digital,"La RFEF pide disculpas en nombre de Luis Aragonés por referirse a Henry como ""negro de mierda""",2004-10-08,"L D (EFE) Esta expresión, que no ha gustado en ciertos círculos futbolísticos, ha provocado que el seleccionador reitere sus disculpas, ya que su intención ""nunca fue la de ofender a nadie"", por lo que manifiesta que tiene ""la conciencia tranquila"".

Redunda en la explicación dada el miércoles tras el entrenamiento de que sus comentarios respondían a una técnica de trabajo: ""Cuanto dije sólo puede interpretarse en el ámbito del equipo y de un entrenamiento, en el que tengo la obligación de motivar a mis jugadores para obtener los mejores resultados"".

En este sentido corrobora que ""en esa labor"" utiliza ""un lenguaje coloquial"", con el que pueda entenderse con los jugadores ""en el marco de unos códigos de fútbol"". ""Sólo puedo pedir disculpas a las personas que se hayan podido sentir ofendidas"", continuaba Aragonés, recalcando que no pretendió ofender a nadie: ""Porque, entre otras cosas, estaría haciéndolo con numerosos amigos míos"".
Necesitamos tu colaboración para seguir informando
Si eres seguidor de Libertad Digital o esRadio hoy puedes resultarnos más útil que nunca. La emergencia del coronavirus ha ocasionado un lógico desplome sin precedentes de la publicidad, nuestro único sustento económico para poder informar.
Necesitamos a todos y cada uno de nuestros trabajadores y colaboradores que, cada día, están demostrando su valía en un entorno de trabajo complicado por las restricciones que impone el virus. Jornadas laborales interminables y medios tecnológicos no habituales hacen aún más difícil y costosa nuestra labor. Con la publicidad en crisis, el lector de Libertad Digital y el oyente de esRadio pueden ser un asidero de enorme importancia. No hay tiempo que perder.
Hazte socio del Club y disfruta de las ventajas asociadas* o gestiona tu apoyo aportando lo que quieras y cuando quieras como donante. Podrás dejar de hacerlo cuando lo consideres, con un simple aviso previo, sin más explicaciones.
Hoy más que nunca, con tu apoyo hay más Libertad.
QUIERO COLABORAR
* Por la emergencia del coronavirus, quedan anulados hasta nuevo aviso todos los eventos como mesas redondas, debates o programas en directo.",None
3,https://www.libertaddigital.com/foros/nacional/2012/05/23/1337790094.html,negro de mierda,libertad_digital,None,None,None,None
4,https://www.libertaddigital.com/opinion/larry-elder/otro-blanco-que-muerde-el-polvo-37122/,negro de mierda,libertad_digital,Otro blanco que muerde el polvo,2007-04-24,"Descanse en paz la carrera del comunicador radiofónico Don Imus o, al menos, su programa en la CBS. El despido del veterano presentador representa un ejemplo más de hipocresía, furia selectiva y obsesión por parte de nuestra sociedad con ""la permeabilidad"" del racismo anti-negros.
El 4 de abril, Imus aludía al equipo de baloncesto femenino predominantemente negro de Rutgers como ""mujerzuelas con greñas"", después de que el productor ejecutivo del programa matinal de Imus, Bernard McGuirk, llamase a las mujeres ""rameras fuertes"". Además, McGuirk describió el campeonato femenino de la NCAA entre Rutgers y Tennessee como ""las negratas contra las imitaciones"", una referencia a la película de Spike Lee School Daze sobre la tensión entre los negros mulatos y los de piel completamente oscura. Tras intentar primero restar importancia a sus palabras al calificarlas como una broma, Imus se disculpó varias veces y accedió a acudir al programa de radio de Al Sharpton como reprimenda.
Hágase cargo de la hipocresía. Sharpton nunca se disculpó por acusar falsamente a un ex asistente del fiscal del distrito de asaltar sexualmente en 1987 a la adolescente negra Tawana Brawley. Un gran jurado de Nueva York determinó que todo el caso Brawley era un fraude, y el asistente del fiscal del distrito demandó por difamación a Sharpton y a otros dos abogados. Un jurado multirracial decidió de manera unánime condenar a Sharpton a pagar 65.000 dólares al asistente del fiscal. Nunca se disculpó.
En 1989, después de que ""la corredora de footing de Central Park"" fuera agredida, violada y abandonada al creerla muerta, Sharpton la llamó ""puta"" y acusó a su novio de cometer el crimen. Nunca se disculpó.
Jesse Jackson también criticó a Imus. Pero en 1984, cuando Milton Coleman, del Washington Post, informó de que Jesse Jackson llamaba a los judíos hymies (un término despectivo, tipo ""negro de mierda"") y a Nueva York Hymietown, el reverendo negó al principio haberlo hecho. Días más tarde, Jackson se disculpó por sus comentarios antisemitas, pero necesitó más tiempo para decidirse a pedir perdón que Imus. El amigo y hombre de confianza de Jackson, Louis Farrakhan, amenazó públicamente al periodista negro Coleman en la radio y advirtió a los judíos: ""Si perjudicáis a este hermano [Jackson], os advierto en nombre de Alá que será el último al que se lo hagáis"". Jackson se negó a condenar las declaraciones de Farrakhan.
El director Spike Lee también pidió la cabeza de Imus. Lee afirmó, en una entrevista de 1992 en Esquire, que le desagradaban las parejas interraciales: ""Fulmino con la mirada a las parejas interraciales. Se sienten incómodos cuando me ven por la calle"". Esto le coloca en el mismo bando que, digamos, David Duke, el del KKK.
El senador republicano por Mississippi Trent Lott le echó un piropo al senador Strom Thurmond, de Carolina del Sur, en su centésimo cumpleaños: ""Quiero decir esto acerca de mi estado: cuando Strom Thurmond se presentó a presidente, nosotros le votamos. Estamos orgullosos de ello. Y si el resto del país nos hubiera imitado, no hubiéramos tenido todos estos problemas a lo largo de todos estos años"". Lott se disculpó y explicó que pretendía adular al anciano en su centésimo cumpleaños. Apareció en el Black Entertainment Television para recibir una reprimenda de una hora de duración. Spike Lee, en la televisión nacional y sin pruebas, llamó a Lott ""un miembro de carnet del Klan"". Nunca se disculpó.
Pero la hipocresía no se acaba con este trío. El senador Barack Obama, que quiere presentarse como candidato presidencial por los demócratas, se convirtió en el único de entre sus rivales en pedir públicamente el despido de Imus. ""No solamente traspasó los límites. Se alimentó de algunos de los peores estereotipos con los que mis dos hijas se setán teniendo que enfrentar hoy en Estados Unidos. Es la noción de que por ser jóvenes afroamericanas –que espero lleguen a ser atletas– son menos atractivas o menos importantes. Fue un comentario degradante, que no estoy dispuesto a apoyar"". Al parecer, el senador pasó ampliamente de la sensibilidad de sus hijas cuando permitió al magnate discográfico David Geffen celebrar un acto de recaudación de fondos para su campaña. La compañía de Geffen produce a raperos como Snoop Dogg, que utiliza con profusión palabras similares a las de Imus refiriéndose también a jóvenes negras, se jacta de empalmarse y producía películas porno.
La senadora Hillary Rodham Clinton también condenó a Imus, pero aún así celebró un acto de recaudación de fondos con el rapero y productor Timbaland. Tanto en sus propios canciones como en las de artistas a los que produce se emplean las palabras malditas.
En cuanto a CBS, la cadena de radio que despidió a Imus, también ellos demostraron un enfado selectivo. Uno de los más populares presentadores radiofónicos de la cadena, que proporciona consejo a los hombres sobre cómo tratar a las mujeres, se refiere rutinariamente a ellas como ""calentorras"" y ""furcias"".
Una encuesta mostraba la reacción al despido de Imus dividida en franjas raciales blanco-negro, con la mayoría de los negros de acuerdo con el despido y la mayoría de los blancos en desacuerdo. Declare esto otro ejemplo de hipersensibilidad por parte de los negros. Porque el equipo de baloncesto de Rutgers representa un grupo de mujeres realizadas, y que incluyen a la primera de su promoción, una estudiante de los cursos previos de la Facultad de Derecho y un prodigio de la música clásica.
¿Cuántas habían oído hablar siquiera de Don Imus antes de sus ofensivas declaraciones? ¿Alguna de estas damas tienen música hip-hop/rap con letras misóginas en sus iPods? He aquí una sugerencia: ignorad los comentarios. Después de todo, en los grandes almacenes de la vida, Imus trabaja en la juguetería.
Necesitamos tu colaboración para seguir informando
Si eres seguidor de Libertad Digital o esRadio hoy puedes resultarnos más útil que nunca. La emergencia del coronavirus ha ocasionado un lógico desplome sin precedentes de la publicidad, nuestro único sustento económico para poder informar.
Necesitamos a todos y cada uno de nuestros trabajadores y colaboradores que, cada día, están demostrando su valía en un entorno de trabajo complicado por las restricciones que impone el virus. Jornadas laborales interminables y medios tecnológicos no habituales hacen aún más difícil y costosa nuestra labor. Con la publicidad en crisis, el lector de Libertad Digital y el oyente de esRadio pueden ser un asidero de enorme importancia. No hay tiempo que perder.
Hazte socio del Club y disfruta de las ventajas asociadas* o gestiona tu apoyo aportando lo que quieras y cuando quieras como donante. Podrás dejar de hacerlo cuando lo consideres, con un simple aviso previo, sin más explicaciones.
Hoy más que nunca, con tu apoyo hay más Libertad.
QUIERO COLABORAR
* Por la emergencia del coronavirus, quedan anulados hasta nuevo aviso todos los eventos como mesas redondas, debates o programas en directo.",© Laurence A. Elder. Distributed by Creators Syndicate Inc.
5,http://www.libertaddigital.com/deportes/futbol/2015-03-10/insultan-al-portero-ivanildo-y-escupen-dentro-de-su-botella-por-ser-negro-1276542806/,negro de mierda,libertad_digital,Insultan al portero Ivanildo y escupen dentro de su botella por ser negro,2015-03-10,"El Atlético Bembibre, equipo del grupo VIII de Tercera División, pondrá en conocimiento de la Delegación de Fútbol del Bierzo los presuntos insultos recibidos por su capitán, el guardameta Ivanildo, en el encuentro disputado el pasado fin de semana en La Bañeza (1-0).

El club berciano, a través de un comunicado, ha lamentado ""el trato recibido por Ivanildo del público asistente al encuentro y, particularmente, los graves insultos que recibió durante el mismo.

Según su versión, el jugador del Atlético Bembibre recibió insultos como ""mono, negro, mierda o platanero"" por el color su piel, llegando la humillación al punto de sustraerle la botella que acostumbra a llevar consigo a la portería, para escupirle dentro y volvérsela a poner en el mismo sitio"", añade la nota.

La directiva del Atlético Bembibre ha destacado, no obstante, el trato recibido por La Bañeza, también leonés. ""Un club amigo con el que siempre hemos mantenido buena relación y queremos aprovechar para agradecer, que una vez finalizado el encuentro, se personaron en nuestro vestuario para pedir disculpas a Ivanildo en nombre de su afición"".

A pesar de que el colegiado del encuentro no reflejó nada en el acta arbitral, la directiva del Atlético Bembibre ha advertido que si el árbitro o las autoridades ""no toman las medidas oportunas"", abandonarán aquellos encuentros en los que sus jugadores vuelvan a ser objeto de este tipo de insultos.

Ivanildo, de 25 años, es de origen caboverdiano y tiene la nacionalidad española.
Necesitamos tu colaboración para seguir informando
Si eres seguidor de Libertad Digital o esRadio hoy puedes resultarnos más útil que nunca. La emergencia del coronavirus ha ocasionado un lógico desplome sin precedentes de la publicidad, nuestro único sustento económico para poder informar.
Necesitamos a todos y cada uno de nuestros trabajadores y colaboradores que, cada día, están demostrando su valía en un entorno de trabajo complicado por las restricciones que impone el virus. Jornadas laborales interminables y medios tecnológicos no habituales hacen aún más difícil y costosa nuestra labor. Con la publicidad en crisis, el lector de Libertad Digital y el oyente de esRadio pueden ser un asidero de enorme importancia. No hay tiempo que perder.
Hazte socio del Club y disfruta de las ventajas asociadas* o gestiona tu apoyo aportando lo que quieras y cuando quieras como donante. Podrás dejar de hacerlo cuando lo consideres, con un simple aviso previo, sin más explicaciones.
Hoy más que nunca, con tu apoyo hay más Libertad.
QUIERO COLABORAR
* Por la emergencia del coronavirus, quedan anulados hasta nuevo aviso todos los eventos como mesas redondas, debates o programas en directo.",LD / Efe
6,https://www.libertaddigital.com/opinion/larry-elder/los-aullidos-racistas-de-duane-dog-chapman-40675/,negro de mierda,libertad_digital,"Los aullidos racistas de Duane ""Dog"" Chapman",2007-11-29,"Duane ""Dog"" Chapman está ahora en el punto de mira. Ya nadie se acuerda del cómico Michael Richards, el ex jugador de béisbol John Rocker, el ex director general de los Dodgers Al Campanis, el ex analista de la CBS Jimmy Snyder ""el griego"", todos los cuales fueron atacados por comentarios ""anti-negros"".
Chapman presenta el reality show Dog el cazarrecompensas, en el que él y su familia buscan y entregan a la justicia a procesados que han huido tras pagar la fianza. El National Enquirer obtuvo las grabaciones de dos conversaciones telefónicas entre Chapman y su hijo. Enfurecido por la relación de su hijo con una mujer negra, Dog dio rienda suelta a una ráfaga de ""negra de mierda"". Según la grabación de minuto y medio difundida, temía que la ""negra de mierda"" de la novia de su hijo pudiera grabar a Dog utilizando ese término, que admite usar en exceso, y dar a conocer la cinta a la opinión pública.
Dog explicaba con torpeza a su hijo que, pese a no tenerle aversión a todos los negros, sí utiliza e término ""negro de mierda"" y la novia podría grabarle diciéndolo y dar a conocer la grabación a la opinión pública. Estados Unidos ""no lo comprendería"" y él perdería ""todo lo que tenemos”. Pero para consternación de Dog, alguien grabó esa conversación telefónica con su hijo. En concreto, su hijo. A esto le siguió la reacción habitual. El canal de televisión por cable para el que trabaja canceló su programa y Duane ""Dog"" Chapman publicó una declaración de disculpa, pidió perdón de nuevo en Larry King y solicitó la ya obligatoria reunión con el reverendo Al Sharpton en busca de absolución.
Ciertamente Chapman merece ser condenado por su diatriba racista. ¿Pero de verdad le sorprende a alguien que un hombre detenido en más de una docena de ocasiones y encarcelado por homicidio en grado de colaboración necesaria emplee en privado un vocabulario sucio y racista? Es más, ¿qué hay de esas personas serias y respetadas que hacen comentarios racistas y ofensivos en público sin disculpa, explicación o condena ninguna?
Por ejemplo, el mismo Sharpton. El reverendo llamó una vez ""puta"" a la corredora de Central Park que fue víctima de un famoso caso de violación y acusó a su novio del horrible crimen. Nunca se disculpó por ello. También acusó falsamente a un hombre blanco de asaltar sexualmente a Tawana Brawley. Más tarde, un gran jurado más tarde concluyó que Brawley se inventó la agresión. Y aunque un jurado ha condenado a Sharpton por difamación, él se niega a disculparse.
La estratega demócrata Donna Brazile, ex directora de la campaña de Al Gore, dijo que el Partido Republicano poseía una ""actitud de chico blanco"". Esto significa, según ella, que ""necesita excluir, denigrar y dejar atrás"". Nada de disculpas, nada de explicaciones. Imagine que el ayudante del presidente Bush, Karl Rove, hiciera un comentario parecido sobre los demócratas: ""Tienen la actitud del chico negro, con la que intentan ganar y acaparar votos negros"". Rove, ante la perspectiva de un pelotón de linchamiento, habría abandonado la capital al amparo de la noche.
El congresista demócrata Charlie Rangel, presidente del Comité de Protocolo de la Cámara, se quejó del Congreso controlado entonces por los Republicanos diciendo: ""Ya no dicen ‘negrata’ o ‘sudaca’. Dicen 'recortemos los impuestos'."". ¿Así que reducir los impuestos equivale al racismo?
El respetado director Spike Lee dijo en una entrevista tras estrenarse una película sobre una relación interracial que él las desaprobaba. ""Les echo un vistazo a las parejas interraciales. Penosos. Se incomodan cuando me miran por la calle."" Ninguna disculpa, ninguna explicación, nadie fue demandado.
¿Que hay de que ahora una conversación privada y grabada puede suponer la pérdida del puesto de trabajo? Las buenas personas intentan desenvolverse con respeto y civismo tanto en público como en privado. ¿Pero cuántos de nosotros podríamos sobrevivir al escrutinio público si alguien grabase y difundiese públicamente nuestros más horribles (y privados) arrebatos de ira?
¿Afecta verdaderamente el arrebato de un hombre como Dog a la autoestima y el amor propio? Cuando trabajaba para un bufete como pasante en Cleveland, en una ocasión le tomé declaración a un cirujano ortopédico. El abogado blanco de la otra parte y yo discutimos agresivamente a lo largo de la misma, pero respetamos la profesionalidad de cada uno. Así que, cuando acabamos, seguimos hablando delante de la consulta del médico. Poco después, un coche desvencijado lleno de jóvenes blancos se acercó lentamente, y uno gritó: ""¡Oye, negro de mierda! ¡Es casi medianoche! ¡Fuera de la ciudad!”
– ¿Oíste, oíste eso? – balbuceó el abogado de la otra parte mientras su mandíbula se desplomaba casi hasta el suelo.
– ¿Por donde íbamos? – le contesté.
– ¿Pero no has oído...?
– Claro que lo he oído – le dije –. Pero mira. Estoy aquí ganando [una cifra que en dólares de hoy en día eran casi 150.000 dólares], vistiendo un impecable traje de tres piezas y llevando un maletín de piel. Y esos idiotas, que ni siquiera tuvieron las suficientes agallas para parar antes de llamarme negro de mierda, seguramente no sean capaces siquiera de conseguir un empleo como cocinero en un McDonald's. Se necesita mucho más para arruinarme el día. Así que, ¿por dónde íbamos?
No pensé mucho en Duane “Dog” Chapman ayer, y tengo toda la intención de dormir profundamente esta noche.",© Laurence A. Elder. Distributed by Creators Syndicate Inc.
7,https://www.libertaddigital.com/deportes/futbol/2019-04-02/yaya-toure-habla-de-sus-experiencias-racistas-que-pasa-huelo-mal-1276635848/,negro de mierda,libertad_digital,"Yayá Touré habla de sus experiencias racistas: ""¿Qué pasa, huelo mal?""",2019-04-02,"Yayá Touré ha triunfado en el mundo del fútbol conquistando títulos en equipos como el Barcelona o el Manchester City. El jugador africano ha vivido la parte más amable del fútbol de élite, pero también la peor, momentos muy desagradables, en los que además vivió el racismo latente en algunos países tuvo lugar en Ucrania. Touré jugó en el Metalurg Donetsk en 2003 y vivió un infierno.
""De primeras me sentí humillado y luego enfadado. Los cánticos imitando a un mono eran peor que cualquier otra cosa y a veces, incluso, lo hacían mis propios aficionados. Intentaba acostumbrarme a ello. 'Negro de mierda, negro de mierda: ¡vuelve a casa!', me decían desde las gradas"", comenta Yayá en una entrevista para The Mirror.
Actualmente en el Olympiacos griego, el ex del Barcelona no olvida ciertos episodios de su pasado, algunos surrealistas: ""Recuerdo haber llamado a mi padre y contarle lo que estaban cantándome y los gritos imitando a los monos. Él me dijo que fuera a jugar, que fuera fuerte porque no quería que me afectara, pero no se daba cuenta de lo mal que estaba yo. Un día vino a verme y se fue a sentar. Todos los blancos se alejaron de él y se fueron a sentar en otro lugar. '¿Qué pasa, huelo mal?', me preguntó"".
Yayá Touré juega actualmente en la Superliga griega donde sólo ha jugado cinco partidos oficiales.
Necesitamos tu colaboración para seguir informando
Si eres seguidor de Libertad Digital o esRadio hoy puedes resultarnos más útil que nunca. La emergencia del coronavirus ha ocasionado un lógico desplome sin precedentes de la publicidad, nuestro único sustento económico para poder informar.
Necesitamos a todos y cada uno de nuestros trabajadores y colaboradores que, cada día, están demostrando su valía en un entorno de trabajo complicado por las restricciones que impone el virus. Jornadas laborales interminables y medios tecnológicos no habituales hacen aún más difícil y costosa nuestra labor. Con la publicidad en crisis, el lector de Libertad Digital y el oyente de esRadio pueden ser un asidero de enorme importancia. No hay tiempo que perder.
Hazte socio del Club y disfruta de las ventajas asociadas* o gestiona tu apoyo aportando lo que quieras y cuando quieras como donante. Podrás dejar de hacerlo cuando lo consideres, con un simple aviso previo, sin más explicaciones.
Hoy más que nunca, con tu apoyo hay más Libertad.
QUIERO COLABORAR
* Por la emergencia del coronavirus, quedan anulados hasta nuevo aviso todos los eventos como mesas redondas, debates o programas en directo.",Libertad Digital
8,http://www.libertaddigital.com/deportes/inglaterra-vestira-camisetas-anti-racistas-en-el-entrenamiento-que-realizara-en-el-bernabeu-1276237654/,negro de mierda,libertad_digital,Inglaterra vestirá camisetas anti-racistas en el entrenamiento que realizará en el Bernabéu,2004-11-15,"L D (EFE) Leon Mann, promotor de la campaña ""Kick it Out"" (Échalo a Patadas), que también cuenta con el apoyo de la Federación inglesa de Fútbol, declaró en un comunicado este lunes que ""esta campaña quiere llamar la atención sobre incidentes como el que protagonizó Aragonés y concienciar a la gente contra el racismo en el fútbol"".
El presidente de la campaña, Lord Herman Ouseley, aplaudió la iniciativa de la selección, que ya ha colaborado en otros acontecimientos. En un comunicado, Ouseley aseguró que ""hemos progresado en la lucha contra el racismo en el Reino Unido pero, como vemos, el problema en el continente continúa afectándonos"".
El lord inglés asegura también que hay que ""hacer lo posible para aplicar las lecciones aprendidas aquí, con la esperanza de que otras naciones nos imiten"", ya que ""no podemos esperar menos que una tolerancia cero al racismo allí donde ocurra"".
Necesitamos tu colaboración para seguir informando
Si eres seguidor de Libertad Digital o esRadio hoy puedes resultarnos más útil que nunca. La emergencia del coronavirus ha ocasionado un lógico desplome sin precedentes de la publicidad, nuestro único sustento económico para poder informar.
Necesitamos a todos y cada uno de nuestros trabajadores y colaboradores que, cada día, están demostrando su valía en un entorno de trabajo complicado por las restricciones que impone el virus. Jornadas laborales interminables y medios tecnológicos no habituales hacen aún más difícil y costosa nuestra labor. Con la publicidad en crisis, el lector de Libertad Digital y el oyente de esRadio pueden ser un asidero de enorme importancia. No hay tiempo que perder.
Hazte socio del Club y disfruta de las ventajas asociadas* o gestiona tu apoyo aportando lo que quieras y cuando quieras como donante. Podrás dejar de hacerlo cuando lo consideres, con un simple aviso previo, sin más explicaciones.
Hoy más que nunca, con tu apoyo hay más Libertad.
QUIERO COLABORAR
* Por la emergencia del coronavirus, quedan anulados hasta nuevo aviso todos los eventos como mesas redondas, debates o programas en directo.",None
9,https://www.libertaddigital.com/deportes/competicion-multa-a-luis-aragones-con-tres-mil-euros-por-el-caso-henry-1276245505/,negro de mierda,libertad_digital,Competición multa a Luis Aragonés con tres mil euros por el caso Henry,2005-03-01,"L D (EFE) Además de estos comentarios, Competición también aplica la sanción a Aragonés por unas declaraciones que hizo en una conferencia de prensa cuando periodistas ingleses le preguntaron sobre ese hecho, justo en la víspera del amistoso España-Inglaterra, disputado en el estadio Santiago Bernabéu el pasado 17 de noviembre.

La prensa inglesa acusó entonces al Sabio de Hortaleza de ""racista"" y el Comité de Competición, pese a no compartir esa acusación, ha sancionado al seleccionador español. Competición, que califica el hecho de ""falta grave"", ha aplicado el artículo 120.b de los Estatutos federativos, que establece multas de 601,01 a 3.005,06 euros a quienes protagonicen ""actos notorios y públicos que atenten a la dignidad y decoro deportivos"".

Considera que ""es evidente"" que los comentarios de Luis Aragonés sobre Henry, ""aún ausentes de todo desvalor racista, no responden a sus especiales obligaciones por el cargo que ostenta, y su secuela en la actuación de la rueda de prensa, como acto continuado de aquél, también supone un incremento de lo desafortunado de la actuación"". Aragonés podrá recurrir la sanción al comité de apelación, si lo desea, en los próximos diez días.
Necesitamos tu colaboración para seguir informando
Si eres seguidor de Libertad Digital o esRadio hoy puedes resultarnos más útil que nunca. La emergencia del coronavirus ha ocasionado un lógico desplome sin precedentes de la publicidad, nuestro único sustento económico para poder informar.
Necesitamos a todos y cada uno de nuestros trabajadores y colaboradores que, cada día, están demostrando su valía en un entorno de trabajo complicado por las restricciones que impone el virus. Jornadas laborales interminables y medios tecnológicos no habituales hacen aún más difícil y costosa nuestra labor. Con la publicidad en crisis, el lector de Libertad Digital y el oyente de esRadio pueden ser un asidero de enorme importancia. No hay tiempo que perder.
Hazte socio del Club y disfruta de las ventajas asociadas* o gestiona tu apoyo aportando lo que quieras y cuando quieras como donante. Podrás dejar de hacerlo cuando lo consideres, con un simple aviso previo, sin más explicaciones.
Hoy más que nunca, con tu apoyo hay más Libertad.
QUIERO COLABORAR
* Por la emergencia del coronavirus, quedan anulados hasta nuevo aviso todos los eventos como mesas redondas, debates o programas en directo.",None
